form	POS
chana	p.pers
ta	case.dat
kapāsa	n
.	punc

dhaka	v.dhak
dhāyāva	cv.ant
cha	num
guli	cs.inan
deśa	n
sa	case.loc.inan
vanyāva	cv.ant
.	punc

kapāsa	n
phonyāva	cv.ant
.	punc

hayāva	cv.ant
bilaṃ	v.perf.past
.	punc

thva	d.dem
kapāsa	n
jyā	n
yānyāva	cv.ant
jimni	n
ku	neg
b	n
yā	case.gen
.	punc

suyani	v.n
ku	n
dhu	n
hāyakāva	cv.ant
bhinaka	adv.man
kāpala	n
thānāva	cv.ant
.	punc

sighāli	n
yā	case.gen
dune	v.n
.	punc

soka	n
thanyāva	cv.ant
.	punc

meba	adj
nagara	n
yā	case.gen
rājā	n
yāke	case.loc.an
du	v.impst
ti	v.ipv
dhakaṃ	v.dhak
bisyaṃ	v.co
chotaṃ	v.perf.past
.	punc

thva	d.dem
madanābatinaṃ	v.perf.past
.	punc

chiji	n
sa	case.loc.inan
ṣarca	n
dayake	v.n
dhakaṃ	v.dhak
bisyaṃ	v.co
hakva	adv.dir
dāma	n
jvaṅāva	cv.ant
vāyo	v.ipv
dhakaṃ	v.dhak
dhāyāva	cv.ant
chutaṃ	v.perf.past
||	punc

thvate	p.anaphor
madanābatī	n
yā	case.gen
kha	n
nyanāva	cv.ant
.	punc

bikramāditya	n
rājā	n
naṃ	case.erg
.	punc

thva	d.dem
syeghāli	n
jvanyāva	cv.ant
vanaṃ	v.perf.past
||	punc

thana	adv.man
meba	adj
rājā	n
yāke	v.n
thyanakāva	cv.ant
.	punc

thva	d.dem
rājā	n
yā	case.gen
dubāri	n
yāke	case.loc.an
dhālaṃ	v.perf.past
.	punc

bho	interj
mantrī	n
sa	case.loc.inan
mahārājā	n
yā	case.gen
prasthā	n
na	case.erg
dava	v.impst
lā	cl.inter
.	punc

rājā	n
yā	case.gen
chu	p.interrog
bela	n
gathe	v.n
khava	v.impst
dhaka	v.dhak
dhāyāva	cv.ant
.	punc

ji	p.pers
na	case.erg
thva	d.dem
sighāli	n
cha	num
goḍa	cs.round
du	v.impst
te	v.ipv
ha	n
yā	case.gen
dhaka	v.dhak
dhāyāva	cv.ant
mantrīnaṃ	v.perf.past
dhālaṃ	v.perf.past
.	punc

bho	interj
mahā	adj
puruṣa	n
.	punc

ji	p.pers
na	case.erg
gocala	n
yāya	v.n
.	punc

dhaka	v.dhak
dhāyāva	cv.ant
.	punc

rājā	n
yāke	case.loc.an
vanyāva	cv.ant
dhālaṃ	v.perf.past
.	punc

bho	interj
mahārājā	n
.	punc

ati	adv.deg
ācśarya	n
.	punc

mahā	adj
puruṣa	n
cha	num
mha	cs.anim
sena	case.erg.h
chalapola	p.pers
sake	case.loc.an
.	punc

sighāli	n
cha	num
goḍa	cs.round
du	v.impst
te	v.ipv
hala	n
||	punc

thva	d.dem
boṅaṃ	n
haya	v.n
rā	n
gathya	adv.inter
khava	v.impst
dhaka	v.dhak
dhāyāva	cv.ant
.	punc

rājā	n
naṃ	case.erg
dhālaṃ	v.perf.past
.	punc

bho	interj
dubāri	n
.	punc

duta	adv.dir
boṅaṃ	v.co
haki	v.ipv
dhaka	v.dhak
dhāyāva	cv.ant
duta	adv.dir
boṅaṃ	v.co
yaṅa	v.impst
julo	v.perf.past
||	punc

thagū	n
thāya	n
sa	case.loc.inan
mahā	adj
puruṣanaṃ	v.perf.past
dhālaṃ	v.perf.past
.	punc

bho	interj
mahārājā	n
.	punc

thva	d.dem
kāpola	n
kāhuni	v.ipv
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

sighāli	n
du	v.impst
talaṃ	v.perf.past
||	punc

rājā	n
naṃ	case.erg
sighāli	n
kāyāva	cv.ant
.	punc

thva	d.dem
sighāli	n
yā	case.gen
duvane	post.gen
.	punc

gathiṃgū	adv.inter
bastu	n
dava	v.impst
khe	v.n
dhaka	v.dhak
dhāyāva	cv.ant
sighāli	n
polāva	cv.ant
soraṅāsyaṃ	cv.as
.	punc

ati	adv.deg
bhīṅa	v.impst
kāpara	n
cha	num
tvāka	n
khanaṃ	v.perf.past
.	punc

thva	d.dem
kāpala	n
cala	n
khyanāva	cv.ant
solaṅāsyaṃ	v.perf.past
.	punc

b	n
yā	case.gen
.	punc

jimani	n
ku	n
.	punc

dhu	n
.	punc

suyani	v.n
ku	neg
hāka	v.perf.past
.	punc

ati	adv.deg
amulya	adj
kāpala	n
dhakaṃ	v.dhak
kāyāva	cv.ant
.	punc

thva	d.dem
kāpala	n
havamhayāta	n
dāma	n
jvane	v.n
phakva	adv.deg
bisya	v.co
chova	v.ipv
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

dāma	n
bi	n
tenaṃ	v.perf.past
||	punc

thva	d.dem
bela	n
sa	case.loc.inan
anāgatabidhātā	n
puruṣa	n
cha	num
mha	cs.anim
sena	case.erg.h
rājā	n
yāke	case.loc.an
ināpa	n
yātaṃ	v.perf.past
||	punc

fn21	fol
bho	interj
mahārājā	n
.	punc

thva	d.dem
kāpala	n
*havamhayāta	n
(fn4b)	fol
.	punc

kalāta	n
.	punc

ati	adv.deg
sundari	adj
.	punc

chalapola	p.pers
yāta	case.dat
jogya	adj
.	punc

thathiṃ	adv.man
daridra	adj
puruṣayāta	n
jogya	adj
ma	neg
juva	v.impst
dhaka	v.dhak
dhāvagu	n
kha	n
bikramaditya	n
rājā	n
naṃ	case.erg
tāva	cv.ant
||	punc

thva	d.dem
bikramāditya	n
rājā	n
naṃ	case.erg
jvane	v.n
phakva	adv.deg
dāma	n
jonyāva	cv.ant
.	punc

thava	p.refl
che	n
lihā	adv.dir
vava	v.impst
julo	v.perf.past
.	punc

thva	d.dem
bela	n
sa	case.loc.inan
madanābatinaṃ	v.perf.past
ṅaṅā	v.perf.part
.	punc

bho	interj
puruṣa	n
jhijhi	n
sta	n
dāma	n
bisya	v.co
hava	cv.ant
lā	cl.inter
.	punc

ma	neg
hava	v.impst
lā	cl.inter
.	punc

gathe	v.n
dhakaṃ	v.dhak
ṅenaṃ	v.perf.past
.	punc

thana	n
puruṣanaṃ	v.perf.past
dhālaṃ	v.perf.past
.	punc

bho	interj
madanābati	n
.	punc

dāma	n
bisya	v.co
havāva	cv.ant
chu	p.interrog
prayojana	n
du	v.impst
.	punc

chava	cv.ant
jiva	p.pers
bijoga	n
juī	n
na	case.erg
.	punc

dhaka	v.dhak
dhālaṃ	v.perf.past
.	punc

thva	d.dem
bela	n
sa	case.loc.inan
madanābatinaṃ	v.perf.past
dhālaṃ	v.perf.past
.	punc

bho	interj
prabhū	n
sa	case.loc.inan
.	punc

āma	d.dem
chu	p.interrog
kha	v.impst
.	punc

ji	p.pers
ke	case.loc.an
thukā	evid
satyadharma	n
dhaka	v.dhak
dhāyāva	cv.ant
.	punc

ji	p.pers
ma	neg
yekaṃ	v.perf.past
gathe	v.n
jiīva	v.np
dhakaṃ	v.dhak
dhāyāva	cv.ant
coṅa	v.impst
bela	n
sa	case.loc.inan
.	punc

thva	d.dem
kāpala	n
du	v.impst
tara	n
van	v.co
yā	case.gen
thāya	n
yā	case.gen
dubāri	n
na	case.erg
.	punc

rājā	n
yāke	case.loc.an
choṅāva	cv.ant
bilaṃ	v.perf.past
||	punc

bho	interj
mahārājā	n
dhaka	v.dhak
.	punc

thva	d.dem
kāpala	n
havamha	n
yā	case.gen
nāma	n
bikramaditya	adj
.	punc

thva	d.dem
bikramadityanaṃ	adv.conj
samasta	d.quant
rājya	n
.	punc

bastūbhāba	n
miyāva	cv.ant
tuṃthi	n
na	case.erg
cha	p.pers
thala	n
dāma	n
thanyāva	cv.ant
biyāva	cv.ant
dayakumha	p.correl
kalāta	n
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

rājā	n
yā	case.gen
mana	n
sa	case.loc.inan
ānaṃda	n
juyāva	cv.ant
.	punc

mohana	adv.man
toka	n
puyāva	cv.ant
.	punc

rājā	n
yā	case.gen
sakala	d.quant
jana	n
vayāva	cv.ant
.	punc

thva	d.dem
madanābati	n
yanaṃ	v.perf.past
||	punc

thva	d.dem
bela	n
sa	case.loc.inan
thva	d.dem
madanābati	n
rājaghara	n
sa	case.loc.inan
duta	adv.dir
yaṅāva	cv.ant
.	punc

rājā	n
naṃ	case.erg
madanābati	n
hātaṃ	v.perf.past
.	punc

bho	interj
madanābati	n
chana	p.pers
āva	adv.temp
.	punc

meba	adj
tā	cs.abs
bhālapya	v.n
ma	neg
te	v.ipv
.	punc

cha	num
ji	p.pers
ta	case.dat
strī	n
yāya	v.n
julo	v.perf.past
dhaka	v.dhak
rājā	n
na	case.erg
hānyāva	cv.ant
.	punc

rāni	n
madanābatinaṃ	v.perf.past
dhālaṃ	v.perf.past
.	punc

bho	interj
mahārājā	n
sa	case.loc.inan
.	punc

ji	p.pers
jībanaṃ	adv.conj
rūpanaṃ	v.perf.past
.	punc

tuti	n
lāhāta	n
mikhānaṃ	v.perf.past
aṃgarakṣaṇanaṃ	v.perf.past
.	punc

jaubananaṃ	v.perf.past
.	punc

chalapola	p.pers
yā	case.gen
sukha	n
julo	v.perf.past
.	punc

parat	n
na	case.erg
.	punc

pya	num
nhu	num.time
to	v.impst
jukva	adv.deg
lahune	v.n
dhakaṃ	v.dhak
madanābatinaṃ	v.perf.past
.	punc

rājā	n
yāke	case.loc.an
bimati	n
yāka	v.impst
||	punc

thana	n
rājā	n
naṃ	case.erg
dhālaṃ	v.perf.past
.	punc

jiva	p.pers
khya	adj
dhakaṃ	v.dhak
.	punc

aneka	d.quant
ratna	n
du	v.impst
thāya	n
sa	case.loc.inan
anega	d.quant
dāsīja	n
na	case.erg
panisena	case.erg.h.pl
licakāva	cv.ant
chagulī	n
gṛha	n
sa	case.loc.inan
tayāva	cv.ant
talaṃ	v.perf.past
.	punc

thagu	n
thāsa	n
bikramāditya	n
rājā	n
na	case.erg
ṅheva	cv.ant
kaṅaṃ	v.co
tāthā	v.perf.part
kha	n
madanābatinaṃ	v.perf.past
dhāyā	v.perf.part
kha	n
cha	num
tā	case.dat
lumanakāva	cv.ant
.	punc

ona	v.impst
thathya	adv.man
dhāyāva	cv.ant
tāthu	n
dhaka	v.dhak
.	punc

bho	interj
prabhu	n
sa	case.loc.inan
.	punc

kadācita	n
omha	p.correl
rājā	n
yā	case.gen
.	punc

baraparākrama	n
dava	v.impst
.	punc

deśa	n
(fn5a)	fol
thyani	n
thya	post.abs
coṅa	v.impst
bela	n
sa	case.loc.inan
.	punc

chi	num
*misābhe	n
sana	n
fn22	fol
.	punc

ji	p.pers
con	n
yā	case.gen
thāya	n
sa	case.loc.inan
.	punc

chi	num
na	case.erg
subarṇa	n
yā	case.gen
culyā	n
kaṃkana	v.ipv
.	punc

aṃguli	v.ipv
.	punc

ādipaṃ	v.co
jvanyāva	cv.ant
ji	p.pers
nāpalāta	v.perf.past
vaya	v.n
māla	v.perf.past
.	punc

jinaṃ	adv.conj
pya	num
nhu	cs.time
to	v.impst
va	d.dem
rājā	n
yā	case.gen
khvāla	n
ma	neg
sosya	v.co
conya	adv.man
dhaka	v.dhak
dhāva	v.impst
.	punc

āva	adv.temp
ji	p.pers
na	case.erg
gathi	n
mahā	adj
kaṣṭa	n
.	punc

bairāgya	n
yānāva	cv.ant
juya	v.n
māla	v.perf.past
.	punc

chu	p.indef
yāya	v.n
dhaka	v.dhak
bhālapāva	cv.ant
cha	num
guli	cs.inan
deśa	n
sa	case.loc.inan
vanyāva	cv.ant
misā	n
yā	case.gen
bastra	n
nyānāva	cv.ant
.	punc

chāya	adv.inter
chanda	n
na	case.erg
tiyāva	cv.ant
.	punc

culyā	n
aṃguli	n
jvaṅāva	cv.ant
vanaṃ	v.perf.past
||	punc

thugu	n
thāsa	n
madanābati	n
na	case.erg
dāsījanapanita	n
dhāsyaṃ	v.co
talaṃ	v.perf.past
||	punc

bho	interj
dāsījana	n
pani	case.abs.h.pl
.	punc

ji	p.pers
tisā	n
ma	neg
du	v.impst
.	punc

culyā	v.perf.part
.	punc

aṃguli	n
jvanyāva	cv.ant
.	punc

banijāla	n
valasā	cv.cond
boṅaṃ	adv.conj
hiva	v.np
dhakaṃ	v.dhak
hāṅaṃ	v.co
talaṃ	v.perf.past
.	punc

thva	d.dem
yā	case.gen
sati	n
ṣu	n
nhu	cs.time
misachāya	n
na	case.erg
tiyāva	cv.ant
.	punc

culyā	v.perf.part
.	punc

aṃguli	v.ipv
.	punc

jvanyāva	cv.ant
mila	n
vava	cv.coin
banijāla	n
khanyāva	cv.ant
.	punc

dāsīja	n
na	case.erg
panisena	case.erg.h.pl
dhālaṃ	v.perf.past
.	punc

bho	interj
banijāla	n
ji	p.pers
panisa	case.gen.h.pl
rānīnaṃ	adv.conj
kāya	v.n
yā	case.gen
hiva	v.np
dhakaṃ	v.dhak
duta	adv.dir
boṅaṃ	v.co
yaṅāva	cv.ant
.	punc

rāni	n
nāpa	post.abs
lācakāva	cv.ant
bilaṃ	v.perf.past
.	punc

rāni	n
naṃ	case.erg
duta	adv.dir
bonyaṃ	v.co
yaṅāva	cv.ant
duvane	post.gen
anega	d.quant
anega	d.quant
ratna	n
dāma	n
biyāva	cv.ant
dhālam	v.perf.past
.	punc

bho	interj
prabhū	n
sa	case.loc.inan
āva	adv.temp
ji	p.pers
bacana	n
ṅava	cv.ant
dhaka	v.dhak
.	punc

thva	d.dem
dāma	n
na	case.erg
.	punc

bhīṅa	v.impst
saḍa	n
cha	num
mha	cs.anim
surakṣaṇamha	n
ṅānāva	cv.ant
.	punc

hanī	n
bahanī	n
yā	case.gen
rātrī	n
sa	case.loc.inan
sala	n
jvanāva	cv.ant
.	punc

thva	d.dem
jhyāla	n
kosa	n
disane	v.n
.	punc

ji	p.pers
bise	v.co
vaya	v.n
.	punc

chiji	n
ni	num
mhaṃ	cs.anim
bise	v.co
vanya	adj
dhakaṃ	v.dhak
.	punc

samadhāra	n
yāṅāva	cv.ant
.	punc

rājā	n
pi	adv.dir
chosyaṃ	v.co
halaṃ	v.perf.past
||	punc

thva	d.dem
rājā	n
naṃ	case.erg
anega	d.quant
bastuka	n
hayāva	cv.ant
thva	d.dem
rājā	n
naṃ	case.erg
bhiṅa	adj
saḍa	n
cha	num
mha	cs.anim
ṅānāva	cv.ant
.	punc

thava	p.refl
ta	case.dat
mālakva	adv.dir
bhīṅa	v.impst
bastra	n
.	punc

khaṃjara	n
ṅānāva	cv.ant
.	punc

rātrī	n
sa	case.loc.inan
.	punc

thva	d.dem
saḍa	n
gayāva	cv.ant
jhyāla	n
kosa	n
conyāva	cv.ant
coṅa	v.impst
julo	v.perf.past
||	punc

thana	p.pers
rāni	n
bisya	v.co
vane	v.n
ma	neg
phayāva	cv.ant
.	punc

rājā	n
yā	case.gen
.	punc

āsa	n
bunyāva	cv.ant
ṅheḍa	n
vayāva	cv.ant
phale	n
sa	case.loc.inan
denyaṃ	v.co
coṅa	v.impst
julo	v.perf.past
.	punc

thva	d.dem
bela	n
sa	case.loc.inan
khu	v.impst
cha	num
mha	cs.anim
vayāva	cv.ant
.	punc

thva	d.dem
khunaṃ	adv.conj
dhālaṃ	v.perf.past
.	punc

āva	adv.temp
ji	p.pers
bhāgyanaṃ	adv.conj
khā	n
yā	case.gen
dato	v.perf.past
.	punc

rājāghala	n
sa	case.loc.inan
khuya	v.n
mahā	adj
kaṣṭa	n
.	punc

āva	adv.temp
thva	d.dem
śaḍa	n
cha	num
mha	cs.anim
khusyaṃ	v.co
yane	v.n
bhālapāva	cv.ant
tījaka	n
śaḍa	n
phenyāva	cv.ant
coṅā	v.perf.part
bela	n
sa	case.loc.inan
thva	d.dem
jhyāla	n
na	case.erg
khipota	n
jvaṅāva	cv.ant
bisye	n
vayāva	cv.ant
śaḍa	n
yā	case.gen
mha	n
sa	case.loc.inan
juta	v.perf.past
vava	v.impst
.	punc

thva	d.dem
bela	n
sa	case.loc.inan
madanābati	n
sahita	post.abs
khu	v.impst
.	punc

sadanaṃ	adv.conj
huyakaṃ	v.perf.past
yaṅa	v.impst
julo	v.perf.past
||	punc

thva	d.dem
*bela	n
sa	case.loc.inan
(fn5b)	fol
khunaṃ	v.perf.past
dhālaṃ	v.perf.past
.	punc

bho	interj
strīja	n
na	case.erg
chiji	n
bhāgyanaṃ	adv.conj
khā	n
yā	case.gen
dato	v.perf.past
.	punc

āva	adv.temp
chiji	n
strī	n
puruṣa	n
juya	v.n
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

rānīnaṃ	adv.conj
cintarapā	v.perf.part
.	punc

fn23	fol
hari	n
hari	n
gathiṃṅa	adv.inter
āścarya	adj
juyaṃ	v.co
yava	v.impst
khaṃ	n
.	punc

ji	p.pers
na	case.erg
rājā	n
bikramāditya	n
dhaka	v.dhak
bhārapā	v.perf.part
ma	neg
khu	v.impst
khaṃ	n
.	punc

gathiṃṅa	adv.inter
pāpi	n
sta	n
khu	v.impst
yā	case.gen
hasta	n
sa	case.loc.inan
lāka	n
.	punc

hari	n
hari	n
chu	p.indef
yā	case.gen
pāpa	n
na	case.erg
gugū	d.dem
yā	case.gen
pāpa	n
na	case.erg
thathya	adv.man
jula	v.perf.past
.	punc

āva	adv.temp
gathya	adv.inter
yāya	v.n
dhaka	v.dhak
ciṃtarapaṃ	v.co
mahā	adj
duḥkhanaṃ	v.perf.past
vana	v.perf.past
||	punc

thana	adv.conj
lasa	n
coṅa	v.impst
khu	v.impst
ni	num
mha	cs.anim
nāpa	post.abs
lāka	n
.	punc

thva	d.dem
khu	v.impst
nimhasyenaṃ	v.perf.past
dhālaṃ	v.perf.past
.	punc

bho	interj
pāsā	n
huṃhuṃ	p.indef
khu	v.impst
ma	neg
khu	v.impst
lā	cl.inter
dhaka	v.dhak
dhāla	n
.	punc

hanakaṃ	v.perf.past
pāsākhunaṃ	adv.conj
dhālaṃ	v.perf.past
.	punc

bho	interj
pāsā	n
niścayanaṃ	adv.man
khu	v.impst
khava	v.impst
khye	v.n
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

thva	d.dem
khupanisyenaṃ	adv.conj
dhālaṃ	v.perf.past
.	punc

bho	interj
pāsā	n
huṃhuṃ	p.indef
khu	v.impst
yāke	case.loc.an
lāyāva	cv.ant
kāya	v.n
nuyo	v.perf.past
dhakaṃ	v.dhak
dhāyāva	cv.ant
nimhasye	n
na	case.abl
lāyā	n
kāyāva	cv.ant
bvācakaṃ	v.perf.past
yaṅāva	cv.ant
.	punc

thva	d.dem
khu	v.impst
duḥkhanaṃ	adv.conj
riva	v.np
riva	cv.ant
vanaṃ	v.perf.past
||	punc

thana	adv.man
khu	v.impst
ni	num
mha	cs.anim
yā	case.gen
samadhāra	n
yātaṃ	v.perf.past
.	punc

bho	interj
duṣṭa	adj
pāsā	n
chita	n
śaḍa	n
kāva	cv.ant
.	punc

ji	p.pers
ta	case.dat
tiri	n
kāya	v
dhālaṃ	v.perf.past
.	punc

hanakaṃ	v.perf.past
meba	adj
pāsānaṃ	adv.conj
dhālaṃ	v.perf.past
.	punc

bho	interj
pāsā	n
āmathya	v.n
ma	neg
khu	v.impst
.	punc

chita	n
śaḍa	n
kāva	cv.ant
.	punc

ji	p.pers
ta	case.dat
tiri	n
kāya	v.n
dhāyāva	cv.ant
thithiṃ	adv.man
lvāṅāva	cv.ant
vanaṃ	v.perf.past
||	punc

thana	n
rānīnaṃ	v.perf.past
dhālaṃ	v.perf.past
.	punc

bho	interj
chisakala	n
ni	num
mha	cs.anim
lvāya	v.n
ma	neg
teva	v.impst
.	punc

ji	p.pers
ati	adv.deg
pyāsa	case.erg
cāva	v.impst
.	punc

chi	num
panisenaṃ	case.erg.h.pl
ji	p.pers
ta	case.dat
laṃkha	n
kāyāva	cv.ant
tonakiva	v.np
.	punc

ji	p.pers
mvācake	v.n
māla	v.perf.past
dhaka	v.dhak
dhāyāva	cv.ant
.	punc

thva	d.dem
khu	v.impst
nimhasyenaṃ	v.perf.past
dhālaṃ	v.perf.past
.	punc

bho	interj
tirija	n
na	case.erg
chi	num
bisya	v.co
vani	v.ipv
chale	v.n
dhaka	v.dhak
dhāyāva	cv.ant
.	punc

athya	p.correl
jurasā	cv.cond
svamha	p.correl
vane	v.n
nuyo	v.perf.past
dhakaṃ	v.dhak
dhāyāva	cv.ant
sva	num
mhaṃ	cs.anim
vaṅāva	cv.ant
tuṃthi	n
yā	case.gen
co	adv.dir
sa	case.loc.inan
sva	num
mhaṃ	cs.anim
coṅāva	cv.ant
.	punc

laṃkha	n
sālāva	cv.ant
bela	n
sa	case.loc.inan
.	punc

thva	d.dem
tirijananaṃ	v.perf.past
.	punc

ni	num
mha	cs.anim
ghvāṅāva	cv.ant
tuṃthi	n
sa	case.loc.inan
ku	n
tinakaṃ	v.perf.past
choka	v.impst
julo	v.perf.past
||	punc

thanaṃ	adv.conj
li	cv.anter
misānaṃ	adv.conj
dhālaṃ	v.perf.past
.	punc

bho	interj
pāspi	n
sta	n
ṣu	n
pani	case.abs.h.pl
.	punc

chimisye	n
na	case.erg
ati	adv.deg
agamya	n
kha	n
lhāka	v.impst
.	punc

āva	adv.temp
cha	p.pers
pani	case.abs.h.pl
ni	num
mhaṃ	cs.anim
.	punc

āmaka	n
na	case.erg
cova	cv.ant
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

thva	d.dem
trijananaṃ	adv.conj
śaḍa	n
gayāva	cv.ant
vanaṃ	v.perf.past
||	punc

thanaṃ	adv.conj
li	cv.anter
.	punc

thva	d.dem
misā	n
na	case.erg
dhāyā	v.perf.part
.	punc

āva	adv.temp
thathya	adv.man
vane	v.n
ma	neg
khuto	v.perf.past
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

mijana	n
yā	case.gen
bastranaṃ	adv.man
tiyāva	cv.ant
vane	v.n
jula	v.perf.past
dhaka	v.dhak
cintalapāva	cv.ant
.	punc

cha	num
guli	cs.inan
deśa	n
sa	case.loc.inan
duhā	n
vaṅāva	cv.ant
mijana	n
yā	case.gen
bastra	n
ṅānāva	cv.ant
thva	d.dem
bastranaṃ	adv.man
tiyāva	cv.ant
.	punc

mijana	n
thyaṃ	post.abs
nyenakāva	cv.ant
vanaṃ	v.perf.past
|	punc
thana	adv.man
samasta	d.quant
sena	case.erg.h
.	punc

rājā	n
bhālapaṃ	v.co
coṅa	v.impst
||	punc

fn24	fol
thathya	adv.man
vale	v.n
na	case.erg
.	punc

bastrapuri	n
*nāma	n
(fn6a)	fol
deśa	n
cha	num
guli	cs.inan
dasyaṃ	v.co
coṅa	v.impst
.	punc

thva	d.dem
deśa	n
sa	case.loc.inan
byāghra	adj
chamhasye	n
na	case.erg
.	punc

thva	d.dem
deśa	n
yā	case.gen
kataka	n
bāraṃbāra	adv.deg
mocaku	n
julo	v.perf.past
||	punc

thva	d.dem
deśa	n
yā	case.gen
gala	n
sa	case.loc.inan
coṅa	v.impst
dhū	n
na	case.erg
nayāva	cv.ant
deśakataka	n
pihā	n
vaya	v.n
sunu	n
ma	neg
chāva	cv.ant
.	punc

thagū	n
thāsa	n
.	punc

thva	d.dem
deśa	n
yā	case.gen
rājā	n
naṃ	case.abl
dhālaṃ	v.perf.past
||	punc

bho	interj
prajāloka	n
.	punc

gvamha	p.correl
sena	case.erg.h
.	punc

thva	d.dem
byāghra	adj
mocake	v.n
phata	v.perf.past
.	punc

vamhayāta	n
ji	p.pers
mhyāca	n
bibahāra	n
yānā	v.perf.part
biya	v.n
dhaka	v.dhak
dhālam	v.perf.past
.	punc

thva	d.dem
bela	n
sa	case.loc.inan
mijana	n
rūpa	n
yāṅāva	cv.ant
vavamha	p.correl
thva	d.dem
deśa	n
duhāṃ	post.abs
vane	v.n
te	v.ipv
na	case.erg
bela	n
sa	case.loc.inan
.	punc

thva	d.dem
deśa	n
yā	case.gen
gala	n
sa	case.loc.inan
basalapaṃ	v.co
coṅa	v.impst
thva	d.dem
dhū	n
na	case.erg
ṅāyayāṅaṃ	adv.man
vava	v.impst
khaṅāva	cv.ant
vāhā	n
na	case.abl
khāsyaṃ	v.co
coṅa	v.impst
bela	n
sa	case.loc.inan
.	punc

khaḍga	n
na	case.erg
pālāva	cv.ant
byāghra	n
molaku	n
julo	v.perf.past
||	punc

thvanaṃ	adv.conj
li	cv.anter
thva	d.dem
mijanabeśa	n
deśa	n
sa	case.loc.inan
duhā	n
vaṅa	v.impst
julo	v.perf.past
.	punc

thva	d.dem
deśa	n
yā	case.gen
lokanaṃ	adv.man
khaṅāva	cv.ant
dhālaṃ	v.perf.past
.	punc

bho	interj
mahāpuruṣa	n
chikalapiṃ	adv.dir
ganaṃ	adv.rel
jhā	n
yā	case.gen
dhakaṃ	v.dhak
ṅanaṃ	v.perf.past
.	punc

āmo	d.dem
lasa	n
tavadhī	n
dhu	n
dava	v.impst
.	punc

deśakataka	n
adikaṃ	v.perf.past
mocakaro	v.perf.past
dhakaṃ	v.dhak
kaṅāva	cv.ant
.	punc

thana	n
mahāpuruṣanaṃ	v.perf.past
dhālaṃ	v.perf.past
.	punc

āmo	d.dem
dhu	n
ji	p.pers
na	case.erg
mocake	v.n
dhuno	v.perf.past
.	punc

apratīta	n
julasā	cv.cond
sola	n
huni	v.ipv
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

thva	d.dem
deśa	n
yā	case.gen
loka	n
sakaleṃ	d.quant
harṣamāna	adj
julaṃ	v.perf.past
||	punc

thva	d.dem
loka	n
pani	case.abs.h.pl
vaṅāva	cv.ant
rājā	n
yā	case.gen
ṅhavane	post.gen
dhālaṃ	v.perf.past
.	punc

bho	interj
mahārājā	n
.	punc

chalapola	p.pers
yā	case.gen
bhāgyanaṃ	v.perf.past
.	punc

jimi	n
bhāgyenaṃ	v.perf.past
.	punc

mahāpuruṣa	n
cha	num
mha	cs.anim
vayāva	cv.ant
.	punc

jhijhi	n
sa	case.loc.inan
gala	n
sa	case.loc.inan
basalapaṃ	v.co
coṅa	v.impst
dhu	n
mocakaro	v.perf.past
dhakaṃ	v.dhak
rājā	n
yāta	case.dat
kanaṃ	v.perf.past
||	punc

thana	n
rājā	n
khava	v.impst
rā	cl.inter
dhakaṃ	v.dhak
atiharṣamānanaṃ	adv.man
coṅāva	cv.ant
rājā	n
na	case.erg
mahāpuruṣa	n
bonakara	n
chotaṃ	v.perf.past
||	punc

thana	n
mahāpuruṣa	n
vava	v.impst
khaṅāva	cv.ant
rājā	n
yā	case.gen
mana	n
harṣamāna	adj
jusyaṃ	v.co
conaṃ	v.perf.past
||	punc

thana	adv.man
thva	d.dem
rola	n
nāma	n
maṃtrī	n
kanaṃ	v.perf.past
||	punc

bho	interj
maṃtrī	n
gathiṃṅa	adv.inter
āścarya	adj
mahāpuruṣa	n
vava	v.impst
svava	v.impst
svava	v.impst
dhakaṃ	v.dhak
kyanaṃ	v.perf.past
.	punc

rājā	n
maṃtrī	n
ni	num
mha	cs.anim
ṣusi	n
juyāva	cv.ant
rājā	n
na	case.erg
ji	p.pers
mhyāca	n
biya	v.n
juro	v.perf.past
.	punc

thvayāta	n
yogya	n
dhakaṃ	v.dhak
rājā	n
na	case.erg
rānīyāta	v.perf.past
dhāraṃ	v.perf.past
.	punc

bho	interj
rāni	n
sa	case.loc.inan
.	punc

chana	p.pers
tāla	n
rācakiva	cv.ant
.	punc

thvayāta	n
yogya	n
chana	p.pers
putrī	n
